nama_kabupaten_kota;jenis_kelamin;jumlah_bayi;satuan;tahun
KABUPATEN KUNINGAN;PEREMPUAN;8341;ORANG;2021
KABUPATEN CIREBON;LAKI-LAKI;21124;ORANG;2021
KABUPATEN CIREBON;PEREMPUAN;20372;ORANG;2021
KABUPATEN MAJALENGKA;LAKI-LAKI;8946;ORANG;2021
KABUPATEN MAJALENGKA;PEREMPUAN;8697;ORANG;2021
KABUPATEN SUMEDANG;LAKI-LAKI;7859;ORANG;2021
KABUPATEN SUMEDANG;PEREMPUAN;7522;ORANG;2021
KABUPATEN INDRAMAYU;LAKI-LAKI;10528;ORANG;2021
KABUPATEN INDRAMAYU;PEREMPUAN;10096;ORANG;2021
KABUPATEN SUBANG;LAKI-LAKI;14625;ORANG;2021
KABUPATEN SUBANG;PEREMPUAN;14209;ORANG;2021
KABUPATEN PURWAKARTA;LAKI-LAKI;8175;ORANG;2021
KABUPATEN PURWAKARTA;PEREMPUAN;8097;ORANG;2021
KABUPATEN KARAWANG;LAKI-LAKI;19897;ORANG;2021
KABUPATEN KARAWANG;PEREMPUAN;18818;ORANG;2021
KABUPATEN BEKASI;LAKI-LAKI;30226;ORANG;2021
KABUPATEN BEKASI;PEREMPUAN;29894;ORANG;2021
KABUPATEN BANDUNG BARAT;LAKI-LAKI;10620;ORANG;2021
KABUPATEN BANDUNG BARAT;PEREMPUAN;10312;ORANG;2021
KABUPATEN PANGANDARAN;LAKI-LAKI;2592;ORANG;2021
KABUPATEN PANGANDARAN;PEREMPUAN;2538;ORANG;2021
KOTA BOGOR;LAKI-LAKI;8027;ORANG;2021
KOTA BOGOR;PEREMPUAN;7614;ORANG;2021
KOTA SUKABUMI;LAKI-LAKI;2310;ORANG;2021
KOTA SUKABUMI;PEREMPUAN;2249;ORANG;2021
KOTA BANDUNG;LAKI-LAKI;17856;ORANG;2021
KOTA BANDUNG;PEREMPUAN;18927;ORANG;2021
KOTA CIREBON;LAKI-LAKI;2410;ORANG;2021
KOTA CIREBON;PEREMPUAN;2320;ORANG;2021
KOTA BEKASI;LAKI-LAKI;21939;ORANG;2021
KOTA BEKASI;PEREMPUAN;21525;ORANG;2021
KOTA DEPOK;LAKI-LAKI;20059;ORANG;2021
KOTA DEPOK;PEREMPUAN;19484;ORANG;2021
KOTA CIMAHI;LAKI-LAKI;4688;ORANG;2021
KOTA CIMAHI;PEREMPUAN;4456;ORANG;2021
KOTA TASIKMALAYA;LAKI-LAKI;5221;ORANG;2021
KOTA TASIKMALAYA;PEREMPUAN;5044;ORANG;2021
KOTA BANJAR;LAKI-LAKI;1084;ORANG;2021
KOTA BANJAR;PEREMPUAN;1059;ORANG;2021
KABUPATEN BOGOR;LAKI-LAKI;52247;ORANG;2022
KABUPATEN BOGOR;PEREMPUAN;51395;ORANG;2022
KABUPATEN SUKABUMI;LAKI-LAKI;18713;ORANG;2022
KABUPATEN SUKABUMI;PEREMPUAN;17892;ORANG;2022
