nama_kabupaten_kota,jumlah_penduduk,satuan,tahun
KABUPATEN PURWAKARTA,479290,ORANG,2023
KABUPATEN KARAWANG,1117496,ORANG,2023
KABUPATEN BEKASI,1451622,ORANG,2023
KABUPATEN BANDUNG BARAT,870269,ORANG,2023
KABUPATEN PANGANDARAN,270386,ORANG,2023
KOTA BOGOR,484334,ORANG,2023
KOTA SUKABUMI,156762,ORANG,2023
KOTA BANDUNG,1202485,ORANG,2023
KOTA CIREBON,167037,ORANG,2023
KOTA BEKASI,1214160,ORANG,2023
KOTA DEPOK,961194,ORANG,2023
KOTA CIMAHI,282398,ORANG,2023
KOTA TASIKMALAYA,345544,ORANG,2023
KOTA BANJAR,103010,ORANG,2023
